type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016제주특별자치도_FIT 증가에 따른 제주 관광객 소비패턴 변화 분석_비씨카드_지역별지리적구분_성연령별분석_이용자수_2014~2016.csv
남성/20대 이하 매출금액,2.90%,3.90%,3.50%,4.80%,3.80%,4.70%,2.50%,3.20%
남성/30대 매출금액,11.40%,12.10%,12.00%,12.70%,11.50%,12.00%,9.20%,9.90%
남성/40대 매출금액,18.80%,18.80%,16.80%,16.70%,17.80%,17.70%,18.20%,18.90%
남성/50대 매출금액,16.10%,15.20%,15.90%,15.20%,15.50%,14.60%,18.50%,18.00%
남성/60대 이상 매출금액,11.00%,9.60%,12.90%,10.50%,8.80%,7.80%,16.50%,14.30%
여성/20대 이하 매출금액,3.60%,4.50%,5.00%,6.40%,5.10%,6.20%,2.60%,3.30%
여성/30대 매출금액,10.10%,10.50%,10.40%,10.60%,10.40%,11.00%,7.60%,8.30%
여성/40대 매출금액,11.90%,11.80%,9.60%,9.80%,12.80%,12.70%,10.10%,10.50%
여성/50대 매출금액,9.40%,9.00%,8.90%,8.70%,9.60%,9.10%,9.30%,8.70%
여성/60대 이상 매출금액,4.90%,4.60%,5.10%,4.60%,4.70%,4.30%,5.60%,5.00%
