type,south_2015,south_2016,east_2015,east_2016,north_2015,north_2016,west_2015,west_2016제주특별자치도_FIT 증가에 따른 제주 관광객 소비패턴 변화 분석_비씨카드_지역별지리적구분_성연령별분석_인당이용금액_2014~2016.csv
남성/20대 이하 이용자수,7.30%,8.70%,7.60%,9.30%,7.50%,8.80%,7.40%,8.80%
남성/30대 이용자수,16.10%,15.60%,16.80%,16.30%,15.00%,15.20%,16.50%,15.60%
남성/40대 이용자수,14.10%,13.80%,13.40%,12.90%,13.60%,13.70%,14.80%,14.60%
남성/50대 이용자수,9.90%,9.40%,9.30%,8.70%,10.90%,10.40%,10.70%,10.50%
남성/60대 이상 이용자수,5.90%,5.40%,5.60%,4.90%,6.20%,5.50%,6.50%,5.90%
여성/20대 이하 이용자수,10.60%,12.10%,11.40%,13.40%,10.80%,12.00%,9.50%,11.00%
여성/30대 이용자수,15.60%,14.60%,16.20%,15.00%,14.50%,13.40%,14.50%,13.40%
여성/40대 이용자수,10.00%,10.10%,9.60%,9.50%,9.90%,9.80%,9.90%,10.00%
여성/50대 이용자수,6.90%,7.00%,6.80%,6.80%,7.80%,7.60%,6.90%,6.90%
여성/60대 이상 이용자수,3.50%,3.40%,3.40%,3.20%,3.90%,3.70%,3.40%,3.30%
